Accession	Title	Series Type	Taxonomy	Sample Count	Datasets	Supplementary Types	Supplementary Links	PubMed ID	SRA Accession	Contact	Release Date
GSE32029	"Genome-wide gene expression analysis of neurofibroma-derived NF1+/- and NF1-/- Schwann cells"	"Expression profiling by array"	"Homo sapiens"	36		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32029/suppl"			"Eeva-Mari Jouhilahti"	"Dec 22, 2016"
GSE72927	"Functional Subclone Profiling for Prediction of Treatment-Induced Intratumor Population Shifts and Discovery of Rational Drug Combinations in Human Glioblastoma [expression]"	"Expression profiling by array"	"Homo sapiens"	24		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72927/suppl"	27521447		"Roman Reinartz"	"Dec 19, 2016"
GSE78941	"Whole-genome expression profiles of CD4+ CD28+ and CD4+ CD28null T lymphocytes."	"Expression profiling by array"	"Homo sapiens"	4		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE78nnn/GSE78941/suppl"			"Beatriz Suarez-Alvarez"	"Dec 15, 2016"
GSE78942	"Whole-genome DNA methylation and expression profiles of CD4+ CD28+ and CD4+ CD28null T lymphocytes"	"Methylation profiling by array;Expression profiling by array"	"Homo sapiens"	8				28026094		"Beatriz Suarez-Alvarez"	"Dec 15, 2016"
GSE89116	"Genome wide expression profiles of early and late onset breast cancers"	"Expression profiling by array"	"Homo sapiens"	38		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE89nnn/GSE89116/suppl"			"SUNITA SAXENA"	"Nov 21, 2016"
GSE62504	"Overcoming acquired resistance to BIBW2992 in HCC827, a non-small cell lung cancer cell line by dasatinib"	"Expression profiling by array"	"Homo sapiens"	3		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62504/suppl"			"Shih Sheng Jiang"	"Oct 22, 2016"
GSE62722	"Gene expression induced in HEK293 by treatment with the differentiating agents all-trans retinoic acid (tRA) and N6,2'-O-dibutyryl-cAMP (cAMP)"	"Expression profiling by array"	"Homo sapiens"	6		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62722/suppl"	27425396		"Loris De Cecco"	"Sep 06, 2016"
GSE35211	"HIP1 mediates prostate carcinogenesis and progression through STAT3 signalling"	"Expression profiling by array"	"Homo sapiens"	24		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE35nnn/GSE35211/suppl"			"Roslin Russell"	"Sep 01, 2016"
GSE76340	"Gene expression analysis of hematological malignancies and healthy (non-)hematopoietic cell types"	"Expression profiling by array"	"Homo sapiens"	166		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76340/suppl"	26964570		"Marieke Griffioen"	"Sep 01, 2016"
GSE72810	"Diagnosis of childhood bacterial and viral infection using host RNA expression [validation set]"	"Expression profiling by array"	"Homo sapiens"	146		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72810/suppl"	27552617		"Victoria Wright"	"Aug 29, 2016"
GSE72829	"Diagnosis of childhood bacterial and viral infection using host RNA expression"	"Expression profiling by array"	"Homo sapiens"	531				27552617		"Victoria Wright"	"Aug 29, 2016"
GSE72371	"Response of peripheral blood mononuclear cells to influenza virus, human cytomegalovirus, and candida albicans derived peptide stimulation."	"Expression profiling by array"	"Homo sapiens"	5		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72371/suppl"			"Scott Presnell"	"Aug 15, 2016"
GSE72372	"Response of peripheral blood mononuclear cells to west nile virus (E, NS2a) and type 1 diabetogenic antigens (GAD65, ZnT8) derived peptide stimulation."	"Expression profiling by array"	"Homo sapiens"	10		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72372/suppl"			"Scott Presnell"	"Aug 15, 2016"
GSE72373	"Response of peripheral blood mononuclear cells from patients with allergy to cat and silver birch wood derived antigenic peptide stimulation."	"Expression profiling by array"	"Homo sapiens"	4		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72373/suppl"			"Scott Presnell"	"Aug 15, 2016"
GSE72605	"Response of peripheral blood mononuclear cells to peptide stimuli"	"Expression profiling by array"	"Homo sapiens"	450						"Scott Presnell"	"Aug 15, 2016"
GSE81067	"Microarray analysis of cell types exposed to alpha particle radiation"	"Expression profiling by array"	"Homo sapiens"	110		"IDAT;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81067/suppl"			"Vinita Chauhan"	"May 04, 2016"
GSE58199	"Sema6A and Mical1 control cell growth and survival of BRAFV600E human melanomas"	"Expression profiling by array"	"Homo sapiens"	36		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE58nnn/GSE58199/suppl"	25576923		"Loris De Cecco"	"Apr 19, 2016"
GSE48119	"SRT2014 and the whole blood leukocyte transcriptional response during human endotoxemia"	"Expression profiling by array"	"Homo sapiens"	72		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE48nnn/GSE48119/suppl"	26950237		"Brendon Paul Scicluna"	"Mar 07, 2016"
GSE52182	"TNF dependent induction of inhibitory pathways in CD4+ T cells in HIV and LCMV [TNF stimulation]"	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52182/suppl"			"Joachim Schultze"	"Mar 07, 2016"
GSE52185	"TNF dependent induction of inhibitory pathways in CD4+ T cells in HIV and LCMV"	"Expression profiling by array"	"Homo sapiens;Mus musculus"	82				26950238		"Joachim Schultze"	"Mar 07, 2016"
GSE25669	"Sorted leukocyte populations from acute HIV-1 patients."	"Expression profiling by array"	"Homo sapiens"	37		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25669/suppl"			"Damien Chaussabel"	"Feb 15, 2016"
GSE76360	"03-311 Trastzumab preoperative Trial of Early Stage HER2+ BRCA"	"Expression profiling by array"	"Homo sapiens"	100		"IDAT;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76360/suppl"	26842237		"Vinay Varadan"	"Feb 09, 2016"
GSE76956	"Honokiol Bis-Dichloroacetate (Honokiol DCA) Demonstrates Activity in Vemurafenib-Resistant Melanoma in Vivo."	"Expression profiling by array"	"Homo sapiens"	9		"IDAT;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76956/suppl"	26871475		"Jack L Arbiser"	"Jan 20, 2016"
GSE76873	"Monocyte Transcriptional Networks are Associated with Tuberculin Skin Test Status in Uganda"	"Expression profiling by array"	"Homo sapiens"	56		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76873/suppl"	28414762		"Chetan Seshadri"	"Jan 15, 2016"
GSE67059	"Whole Blood Transcriptional Profiling Differentiates Between Asymptomatic and Symptomatic Human Rhinovirus Detection in Children"	"Expression profiling by array"	"Homo sapiens"	151		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67059/suppl"	26571305		"Nicole Baldwin"	"Jan 14, 2016"
GSE52369	"Tight Junction Protein 1 is a Modulator and Biomarker of Proteasome Inhibitor Sensitivity in Multiple Myeloma"	"Expression profiling by array"	"Homo sapiens"	4		"CSV;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52369/suppl"			"Wencai Ma"	"Dec 31, 2015"
GSE58439	"Long non-coding Satellite III RNAs link the heat shock response and cell proliferation"	"Expression profiling by array"	"Homo sapiens"	22		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE58nnn/GSE58439/suppl"			"Lea Sistonen"	"Dec 31, 2015"
GSE72119	"Hormetic shifting of redox environment by the ROS-producing polyphenol resveratrol protects cells from oxidative stress"	"Expression profiling by array"	"Homo sapiens"	7		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72119/suppl"			"Annabell Plauth"	"Dec 31, 2015"
GSE76420	"LncRNA DINO guides DNA damage signaling"	"Expression profiling by array;Other;Expression profiling by high throughput sequencing"	"Homo sapiens;Mus musculus"	56		"BED;NARROWPEAK"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76420/suppl"			"Adam Schmitt"	"Dec 30, 2015"
GSE48551	"Role of interferon-alpha in the activation of tubular epithelial cell in lupus nephritis (LN)"	"Expression profiling by array"	"Homo sapiens"	6		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE48nnn/GSE48551/suppl"			"Fabio Sallustio"	"Dec 15, 2015"
GSE44818	"Genome-wide analysis of muscle gene expression in response to an intense cycling exercise. Effect of two protein-leucine enriched diets"	"Expression profiling by array"	"Homo sapiens"	72		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE44nnn/GSE44818/suppl"	26508702		"Frederic Raymond"	"Nov 23, 2015"
GSE64554	"GE/miRNA expression profile of Human Epicardial Adipose Tissue (EAT) and Subcutaneous Adipose Tissue (SAT) in Patients with Coronary Artery Disease (CAD) vs. Controls (CTRL) - PART 1 - Genes"	"Expression profiling by array"	"Homo sapiens"	46		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64554/suppl"	26645979		"Antonio Moschetta"	"Nov 22, 2015"
GSE64566	"GE/miRNA expression profile of Human Epicardial Adipose Tissue (EAT) and Subcutaneous Adipose Tissue (SAT) in Patients with Coronary Artery Disease (CAD) vs. Controls (CTRL)"	"Expression profiling by array;Non-coding RNA profiling by array"	"Homo sapiens"	92				26645979		"Antonio Moschetta"	"Nov 22, 2015"
GSE64930	"Dexamethasone stimulated gene expression in peripheral blood"	"Expression profiling by array"	"Homo sapiens"	594		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE64nnn/GSE64930/suppl"	27107207		"Janine Arloth"	"Nov 03, 2015"
GSE72923	"Human Stem Cells from Single Blastomeres Reveal Pathways of Embryonic or  Trophoblast Fate Specification."	"Expression profiling by array;Methylation profiling by genome tiling array"	"Homo sapiens"	383		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72923/suppl"	26483210		"Kristopher L. Nazor"	"Oct 21, 2015"
GSE62472	"Cell context specific effect of AR antagonists on AR DNA binding and target gene expression"	"Expression profiling by array;Genome binding/occupancy profiling by high throughput sequencing"	"Homo sapiens;Mus musculus"	68		"BED"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62472/suppl"			"Yu Chen"	"Oct 01, 2015"
GSE62474	"Transriptome analysis of LNCaP/AR cell line after concomittant treatment with androgen with bicalutamide and enzalutamide"	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62474/suppl"			"Yu Chen"	"Oct 01, 2015"
GSE69555	"Gene expression analyses of miR-99b and miR-330-3p overexpression in Natural killer cells"	"Expression profiling by array"	"Homo sapiens"	9		"IDAT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69555/suppl"	26967895		"Robert Daniel Petty"	"Oct 01, 2015"
GSE62250	"Gene expression profiling of ErbB2-engineered MCF10A and WT cells"	"Expression profiling by array"	"Homo sapiens"	23		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62250/suppl"	26227964		"Jiyang Yu"	"Sep 03, 2015"
GSE62251	"Inhibition of the autocrine loop IL6-JAK2-STAT3-Calprotectin as targeted therapy for HR-/HER2+ breast cancers"	"Expression profiling by array"	"Homo sapiens"	29		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62251/suppl"	26227964		"Jiyang Yu"	"Sep 03, 2015"
GSE59216	"Genome-wide transcription profiling of 22q11.2 deletion syndrome reveals functional pathways related to phenotypic expression of psychosis and autism spectrum disorder"	"Expression profiling by array"	"Homo sapiens"	112		"CSV"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE59nnn/GSE59216/suppl"	26201030		"Giovanni Coppola"	"Sep 01, 2015"
GSE61413	"Modified Stat1 Confers Enhanced Interferon Responsiveness and Improved Baseline Antiviral Host Defense"	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61413/suppl"	26479788		"Anand Champak Patel"	"Sep 01, 2015"
GSE61421	"PARP9 and DTX3L in Antiviral Host Defense"	"Expression profiling by array"	"Homo sapiens;Mus musculus"	31				26479788		"Anand Champak Patel"	"Sep 01, 2015"
GSE66994	"Dose-Responsive Gene Expression in Suberoylanilide Hydroxamic Acid (SAHA) Treated Resting CD4+ T Cells"	"Expression profiling by array"	"Homo sapiens"	30		"IDAT;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE66nnn/GSE66994/suppl"	26258524		"Brian Reardon"	"Aug 13, 2015"
GSE50004	"Wnt5A promotes an adaptive, senescent-like stress response, while continuing to drive invasion in melanoma cells."	"Expression profiling by array"	"Homo sapiens"	20		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE50nnn/GSE50004/suppl"	25407936		"Kevin G Becker"	"Aug 07, 2015"
GSE63060	"Alzheimer, MCI and control samples from AddneuroMed Cohort (batch 1)"	"Expression profiling by array"	"Homo sapiens"	329		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63060/suppl"	26343147		"Jamie Timmons"	"Aug 05, 2015"
GSE63063	"Alzheimer, Mild Cognitive impairment and control samples from AddneuroMed Cohort"	"Expression profiling by array"	"Homo sapiens"	717				26343147		"Jamie Timmons"	"Aug 05, 2015"
GSE59264	"Genome wide transcriptomic analysis of sarcomatoid (E/S), rhabdoid (E/R) and non-sarcomatoid (E*) clear cell renal cell carcinoma"	"Expression profiling by array"	"Homo sapiens"	152		"IDAT;TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE59nnn/GSE59264/suppl"	27499906		"Kanishka Sircar"	"Jun 18, 2015"
GSE59266	"Genome wide analysis of sarcomatoid and non-sarcomatoid clear cell renal cell carcinoma"	"Expression profiling by array;Genome variation profiling by SNP array"	"Homo sapiens"	176		"IDAT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE59nnn/GSE59266/suppl"	27499906		"Kanishka Sircar"	"Jun 18, 2015"
GSE61153	"Genome wide expression profiling of mesenchymal stem cells of fetal and adult origin and dermal fibroblasts"	"Expression profiling by array"	"Homo sapiens"	24		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61153/suppl"	25824141		"Patrizia Danieli"	"Jun 15, 2015"
GSE57475	"Association between alpha-synuclein blood transcripts and early Parkinson's disease"	"Expression profiling by array"	"Homo sapiens"	142		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE57nnn/GSE57475/suppl"	26220939		"Bin Zheng"	"Jun 01, 2015"
GSE29429	"Whole Blood Transcriptional Response to Early Acute HIV"	"Expression profiling by array"	"Homo sapiens"	232		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE29nnn/GSE29429/suppl"			"Damien Chaussabel"	"May 18, 2015"
GSE52629	"Tumorigenic-enriched (TE) and lung-metastatic (LM) derivatives and parental populations from the breast cancer MDA-MB-231 and CN34 cell lines"	"Expression profiling by array"	"Homo sapiens"	11		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52629/suppl"	25866923		"Jason Ross"	"Apr 02, 2015"
GSE28467	"Abrogation of WNT signaling by dominant-negative TCF4"	"Expression profiling by array"	"Homo sapiens"	6						"Jarom Heijmans"	"Apr 01, 2015"
GSE56069	"Immortalization of T-cells is accompanied by gradual changes in CpG methylation resulting in a profile resembling a subset of T-cell leukemias [expression]"	"Expression profiling by array"	"Homo sapiens"	9		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56069/suppl"	25065939		"Sofie Degerman"	"Mar 24, 2015"
GSE56070	"Immortalization of T-cells is accompanied by gradual changes in CpG methylation resulting in a profile resembling a subset of T-cell leukemias"	"Methylation profiling by genome tiling array;Expression profiling by array"	"Homo sapiens"	29				25065939		"Sofie Degerman"	"Mar 24, 2015"
GSE32589	"Isolation of fetal human CD140a and O4-defined oligodendrocyte progenitor cells."	"Expression profiling by array"	"Homo sapiens"	20		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE32nnn/GSE32589/suppl"	25716865		"Fraser James Sim"	"Mar 04, 2015"
GSE48979	"EZH2 Overexpression in Breast Cancer is due to MicroRNA-Dependent Suppression of ZBTB4"	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE48nnn/GSE48979/suppl"			"Kyounghyun Kim Kim"	"Mar 02, 2015"
GSE65479	"Gene expression profiling of HDLM-2 Hodgkin lymphoma cell line after in vitro and in vivo treatment with Givinostat in combination with Sorafenib"	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65479/suppl"	24561519		"Loris De Cecco"	"Mar 01, 2015"
GSE65483	"Gene expression profiling of L-540 Hodgkin lymphoma cell line after in vitro and in vivo treatment with Givinostat in combination with Sorafenib"	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE65nnn/GSE65483/suppl"	24561519		"Loris De Cecco"	"Mar 01, 2015"
GSE28220	"Gene expression analyses of GSC11 cell in stem cell culture conditions or in differentiation conditions for 1, 3, or 7 days"	"Expression profiling by array"	"Homo sapiens"	12		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE28nnn/GSE28220/suppl"			"Sangbae Kim"	"Feb 27, 2015"
GSE25186	"Genome-wide gene expression analysis in primary ciliary dyskinesia patients"	"Expression profiling by array"	"Homo sapiens"	15		"TXT"	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE25nnn/GSE25186/suppl"	24516614		"Maciej Geremek"	"Feb 24, 2015"
